area|evidence|proof|purpose
Local API/node|crates/hq-local-api/tests/reconnecting_client.rs|test:subscription_acknowledgement_is_the_fresh_base_and_gaps_force_full_refresh|Replay reconnect and revision-gap closure
Local API/node|crates/hq-local-api/tests/reconnecting_client.rs|test:lost_mutation_response_replays_the_byte_identical_original_frame|Lost mutation response retries exact request identity
Local API/node|crates/hq-node/tests/unix_node_cli.rs|test:concurrent_readiness_callers_spawn_candidates_but_converge_on_one_owner|Concurrent readiness converges on one node owner
Local API/node|crates/hq-node/tests/unix_graceful_runtime.rs|test:protocol_stop_returns_the_draining_ack_before_ordered_cleanup_and_immediate_rebind|Ordered graceful stop and immediate ownership recovery
Local API/node|crates/hq-node/tests/unix_graceful_runtime.rs|test:protocol_restart_retains_restart_intent_even_when_the_client_drops_its_ack|Restart response loss and intent retention
Relay|crates/hq-relay/tests/relay_session_contract.rs|test:uncertain_publish_restarts_with_byte_identical_wrapper_and_acceptance_is_absorbing|Exact wrapper retry and uncertain delivery recovery
Relay|crates/hq-relay/tests/relay_session_contract.rs|test:required_auth_precedes_live_then_retained_and_live_edge_drains_after_eose|Authentication catch-up and live-edge ordering
Relay|crates/hq-relay/tests/relay_session_contract.rs|test:negative_ok_is_redacted_and_rate_limited_retry_reuses_exact_bytes|Negative acknowledgement retry is bounded redacted and exact
Relay|crates/hq-relay/tests/relay_session_contract.rs|test:live_buffer_overflow_stages_exact_input_without_losing_retained_progress|Live buffer pressure preserves exact input and retained progress
Relay|crates/hq-relay/tests/relay_session_contract.rs|test:manager_coalesces_wakes_refreshes_only_changed_generation_and_joins_every_owner|Session wakes are nondisruptive coalesced and joined
Relay|crates/hq-node/tests/relay_convergence.rs|test:concrete_two_replica_composition_converges_despite_order_outage_restart_and_response_loss|Integrated duplicate outage restart and response-loss convergence
Harness|crates/hq-testkit/tests/harness_conformance.rs|test:scripted_provider_passes_every_neutral_harness_scenario|Provider-neutral capability delivery ordering and kill conformance
Harness|crates/hq-testkit/tests/supervisor_recovery.rs|test:saturation_stages_durable_values_and_coalesces_only_exact_snapshots|Backpressure stages durable values and coalesces exact snapshots
Harness|crates/hq-testkit/tests/supervisor_recovery.rs|test:provider_poll_failure_is_redacted_and_releases_exact_worker_ownership|Provider failure is redacted and releases worker ownership
Harness|crates/hq-testkit/tests/supervisor_recovery.rs|test:restart_reconciles_response_loss_and_partial_event_persistence_before_forced_teardown|Backpressure partial persistence restart and forced teardown
Projects|crates/hq-testkit/tests/project_reduction.rs|test:every_project_and_control_scenario_is_mapped|Transition expected-head assignment and resource-conflict model
Projects|crates/hq-projects/tests/activation_dispatch.rs|test:compensation_response_loss_repairs_with_the_original_failure_and_finishes_closed|Saga compensation and response-loss recovery
Projects|crates/hq-projects/tests/activation_dispatch.rs|test:stale_head_rejects_before_resource_or_runtime_effects|Expected-head race rejects before external effects
Projects|crates/hq-projects/tests/activation_dispatch.rs|test:authority_claim_and_agent_conflicts_reject_before_external_effects|Resource claim and assignment conflicts fail closed
Projects|crates/hq-projects/tests/saga_acceptance.rs|test:recovery_scan_is_bounded_and_excludes_terminal_records|Bounded recovery scan
TUI/CLI|crates/hq-tui/tests/model.rs|test:resource_edits_force_gate_selection_and_fresh_checks_use_exact_identities|Pure retained-workflow transition coverage
TUI/CLI|crates/hq-tui/tests/model.rs|test:self_note_draft_autosaves_and_survives_resize_reconnect_and_reload|Durable mailbox editing survives client lifecycle changes
TUI/CLI|crates/hq-tui/tests/model.rs|test:managed_session_start_confirms_switch_and_exact_resume_and_stop_emit_typed_commands|Pure agent session management transitions
TUI/CLI|crates/hq-tui/tests/model.rs|test:both_project_creation_modes_emit_exact_typed_commands_and_cancel_without_effects|Pure project creation transitions
TUI/CLI|crates/hq-tui/tests/render_snapshots.rs|test:project_lifecycle_controls_are_responsive_confirmed_and_force_gated|Responsive rendering and confirmation snapshots
TUI/CLI|crates/hq-node/tests/unix_tui_terminal.rs|test:explicit_and_bare_tui_render_and_restore_the_pseudoterminal|Installed client rendering and terminal restoration
TUI/CLI|crates/hq-node/tests/unix_tui_terminal.rs|test:installed_tui_self_note_matches_cli_and_survives_restart|Installed mailbox workflow parity and restart durability
TUI/CLI|crates/hq-node/tests/unix_tui_terminal.rs|test:installed_tui_automatically_uses_the_available_provider_and_renders_typed_failure|Installed automatic provider selection and typed failure
TUI/CLI|crates/hq-node/tests/unix_tui_terminal.rs|test:installed_tui_project_lifecycle_matches_the_cli|Installed project lifecycle parity
TUI/CLI|crates/hq-node/tests/unix_tui_terminal.rs|test:installed_tui_provisions_a_recoverable_git_worktree_project|Installed recoverable project worktree workflow
Security/operations|crates/hq-node/tests/identity_adversarial.rs|test:password_and_error_surfaces_are_redacted_and_bounded|Secret and diagnostic redaction
Security/operations|crates/hq-application/tests/launch_environment.rs|test:launch_environment_copies_sorts_and_redacts_secret_values|Environment copying bounds and redaction
Security/operations|crates/hq-node/tests/node_components.rs|test:cancellation_mailboxes_and_tasks_are_hierarchical_bounded_and_joined|Bounded queues tasks and hierarchical cancellation
Security/operations|crates/hq-node/tests/unix_node_cli.rs|test:relay_administration_is_idempotent_redacted_and_restart_durable|Integrated repair restart durability and redacted administration
Security/operations|scripts/verify-rust-architecture.sh|command|Dependency capability and secret ownership boundaries
Security/operations|scripts/verify-rust-go-independence.sh|command|Normal Rust build runtime release and service inputs exclude Go
Security/operations|crates/hq-store/tests/qualification_budgets.rs|test:complete_rebuild_stays_within_the_declared_budget|Complete rebuild performance budget
Security/operations|crates/hq-store/tests/qualification_budgets.rs|test:one_late_parent_wakes_high_fanout_within_the_declared_budget|Late-parent fanout performance budget
Security/operations|crates/hq-store/tests/qualification_budgets.rs|test:indexed_later_pages_stay_within_the_declared_budget|Indexed later-page performance budget
Security/operations|crates/hq-tui/tests/qualification_budgets.rs|test:invalidation_of_a_large_ready_model_requests_redraw_within_the_declared_budget|TUI invalidation redraw budget
Security/operations|crates/hq-node/tests/unix_qualification_budgets.rs|test:native_foreground_node_meets_readiness_memory_and_shutdown_budgets|Native readiness memory and shutdown budgets
Security/operations|scripts/rehearse-rust-recovery.sh|command|Identity database backup restart repair and replacement drill
Security/operations|scripts/rehearse-rust-controlled-failure.sh|command|Controlled relay and provider recovery drill
Security/operations|scripts/rehearse-rust-cutover-rollback.sh|command|Read-only archived-Go isolation and rollback drill
Security/operations|qualification/budgets.env|configuration|Explicit bounded resource and performance limits
Security/operations|qualification/platform-matrix.tsv|configuration|Required native runner and Rust host matrix
